ます形	普通形	て形	た形	ば形	ない形	よう形	漢字（ます形）	活用のタイプ
あいます	あう	あって	あった	あえば	あわない	あおう	会います	動詞1（五段）
いいます	いう	いって	いった	いえば	いわない	いおう	言います	動詞1（五段）
かいます	かう	かって	かった	かえば	かわない	かおう	買います	動詞1（五段）
ならいます	ならう	ならって	ならった	ならえば	ならわない	ならおう	習います	動詞1（五段）
まちます	まつ	まって	まった	まえば	またない	まとう	待ちます	動詞1（五段）
もちます	もつ	もって	もった	もえば	もたない	もとう	持ちます	動詞1（五段）
あやまります	あやまる	あやまって	あやまった	あやまえば	あやまらない	あやまろう	謝ります	動詞1（五段）
かえります	かえる	かえって	かえった	かええば	かえらない	かえろう	帰ります	動詞1（五段）
かります	かりる	かって	かった	かえば	からない	かろう	借ります	動詞1（五段）
とります	とる	とって	とった	とれば	とらない	とろう	取ります	動詞1（五段）
あそびます	あそぶ	あそんで	あそんた	あそべば	あそばない	あそぼう	遊びます	動詞1（五段）
えらびます	えらぶ	えらんで	えらんた	えらべば	えらばない	えらぼう	選びます	動詞1（五段）
すみます	すむ	すんで	すんた	すめば	すまない	すもう	住みます	動詞1（五段）
よみます	よむ	よんで	よんた	よめば	よまない	よもう	読みます	動詞1（五段）
あるきます	あるく	あるいて	あるいた	あるけば	あるかない	あるこう	歩きます	動詞1（五段）
うごきます	うごく	うごいて	うごいた	うごけば	うごかない	うごこう	動きます	動詞1（五段）
ききます	きく	きいて	きいた	きけば	きかない	きこう	聞きます	動詞1（五段）
はたらきます	はたらく	はたらいて	はたらいた	はたらけば	はたらかない	はたらこう	働きます	動詞1（五段）
いそぎます	いそぐ	いそいで	いそいた	いそげば	いそがない	いそごう	急ぎます	動詞1（五段）
おします	おす	おして	おした	おせば	おさない	おそう	押します	動詞1（五段）
だします	だす	だして	だした	だせば	ださない	だそう	出します	動詞1（五段）
いきます	いく	いして	いした	いけば	いさない	いそう	行きます	動詞1（五段）
あきらめます	あきらめる	あきらめて	あきらめた	あきらめれば	あきらめない	あきらめよう	諦めます	動詞2（一段）
いれます	いれる	いれて	いれた	いれれば	いれない	いれよう	入れます	動詞2（一段）
おしえます	おしえる	おしえて	おしえた	おしえれば	おしえない	おしえよう	教えます	動詞2（一段）
おぼえます	おぼえる	おぼえて	おぼえた	おぼえれば	おぼえない	おぼえよう	覚えます	動詞2（一段）
こたえます	こたえる	こたえて	こたえた	こたえれば	こたえない	こたえよう	答えます	動詞2（一段）
しめます	しめる	しめて	しめた	しめれば	しめない	しめよう	閉めます	動詞2（一段）
しらべます	しらべる	しらべて	しらべた	しらべれば	しらべない	しらべよう	調べます	動詞2（一段）
しんじます	しんじる	しんじて	しんじた	しんじれば	しんじない	しんじよう	信じます	動詞2（一段）
つけます	つける	つけて	つけた	つければ	つけない	つけよう	付けます	動詞2（一段）
つづけます	つづける	つづけて	つづけた	つづければ	つづけない	つづけよう	続けます	動詞2（一段）
でます	でる	でて	でた	でれば	でない	でよう	出ます	動詞2（一段）
なれます	なれる	なれて	なれた	なれれば	なれない	なれよう	慣れます	動詞2（一段）
はじめます	はじめる	はじめて	はじめた	はじめれば	はじめない	はじめよう	始めます	動詞2（一段）
みます	みる	みて	みた	みれば	みない	みよう	見ます	動詞2（一段）
わすれます	わすれる	わすれて	わすれた	わすれれば	わすれない	わすれよう	忘れます	動詞2（一段）
きます	くる	きて	きた	くれば	こない	きよう	来ます	動詞3（変格）
いってきます	いってくる	いってきて	いってきた	いってくれば	いってこない	いってきよう	行ってきます	動詞3（変格）
します	する	して	した	すれば	しない	しよう		動詞3（変格）
あついです	あつい	あつくて	あつかった	あつければ	あつくない		暑い	い形容詞
さむいです	さむい	さむくて	さむかった	さむければ	さむくない		寒い	い形容詞
あまいです	あまい	あまくて	あまかった	あまければ	あまくない		甘い	い形容詞
からいです	からい	からくて	からかった	からければ	からくない		辛い	い形容詞
おおきいです	おおきい	おおきくて	おおきかった	おおきければ	おおきくない		大きい	い形容詞
ちいさいです	ちいさい	ちいさくて	ちいさかった	ちいさければ	ちいさくない		小さい	い形容詞
うれしいです	うれしい	うれしくて	うれしかった	うれしければ	うれしくない		嬉しい	い形容詞
かなしいです	かなしい	かなしくて	かなしかった	かなしければ	かなしくない		悲しい	い形容詞
はやいです	はやい	はやくて	はやかった	はやければ	はやくない		早い	い形容詞
おそいです	おそい	おそくて	おそかった	おそければ	おそくない		遅い	い形容詞
いいです	いい	よくて	よかった	よければ	よくない		良い	い形容詞
わるいです	わるい	わるくて	わるかった	わるければ	わるくない		悪い	い形容詞
きれいです	きれいな	きれいで	きれいだった	きれいなら（ば）	きれいじゃない		綺麗な	な形容詞（形容動詞）
しずかです	しずかな	しずかで	しずかだった	しずかなら（ば）	しずかじゃない		静かな	な形容詞（形容動詞）
げんきです	げんきな	げんきで	げんきだった	げんきなら（ば）	げんきじゃない		元気な	な形容詞（形容動詞）
にぎやかです	にぎやかな	にぎやかで	にぎやかだった	にぎやかなら（ば）	にぎやかじゃない		賑やかな	な形容詞（形容動詞）
