数字	基本	〜つ	〜人	〜年	〜月	〜か月	〜週間	〜日	〜時	〜分	〜階
1	いち	ひとつ	ひとり	いちねん	いちがつ	いっかげつ	いっしゅうかん	ついたち	いちじ	いっぷん	いっかい
2	に	ふたつ	ふたり	にねん	にがつ	にかげつ	にしゅうかん	ふつか	にじ	にふん	にかい
3	さん	みっつ	さんにん	さんねん	さんがつ	さんかげつ	さんしゅうかん	みっか	さんじ	さんぷん	さんがい
4	よん	よっつ	よにん	よねん	しがつ	よんかげつ	よんしゅうかん	よっか	よじ	よんぷん	よんかい
5	ご	いつつ	ごにん	ごねん	ごがつ	ごかげつ	ごしゅうかん	いつか	ごじ	ごふん	ごかい
6	ろく	むっつ	ろくにんん	ろくねん	ろくがつ	ろっかげつ	ろくしゅうかん	むいか	ろくじ	ろっぷん	ろっかい
7	なな	ななつ	しちにん	ななねん	しちがつ	ななかげつ	ななしゅうかん	なのか	しちじ	ななふん	ななかい
8	はち	やっつ	はちにん	はちねん	はちがつ	はっかげつ	はっしゅうかん	ようか	はちじ	はっぷん	はっかい
9	きゅう	ここのつ	きゅうにん	きゅうねん	くがつ	きゅうかげつ	きゅうしゅうかん	ここのか	くじ	きゅうふん	きゅうかい
10	じゅう	とお	じゅうにん	じゅうねん	じゅうがつ	じゅっかげつ	じゅっしゅうかん	とおか	じゅうじ	じゅっぷん	じゅっかい
